State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,MarketEstimate,RentEstimate,Latitude,Longitude,ListedPrice,density,source,military,incorporated,timezone,ranking,zips,id,house_coordinates,closest_city,city_coordinates,distance_to_maj_city_miles,population_y,violent_crime,prop_crime,larceny,vehicle_theft,difference_listed_vs_estimate
AL,Montgomery,Brampton Ln,36117.0,3.0,2.0,1564.0,96.54731457800511,0.2,150500.0,1385.0,32.372746,-86.165115,151000.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.372746, -86.165115)",Birmingham,"(33.5279, -86.7971)",87.66442788520114,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,500.0
AL,Montgomery,Crestview Ave,36109.0,3.0,2.0,2196.0,76.95810564663023,0.61,124700.0,1250.0,32.39595,-86.269714,169000.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.39595, -86.269714)",Birmingham,"(33.5279, -86.7971)",83.80609123554292,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,44300.0
AL,Montgomery,Narrow Lane Rd,36116.0,3.0,3.0,3693.0,54.15651232060655,6.9,188300.0,1201.0,32.273514,-86.25934,200000.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.273514, -86.25934)",Birmingham,"(33.5279, -86.7971)",91.92084724380584,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,11700.0
AL,Montgomery,E Delano Ave,36105.0,3.0,2.0,1428.0,90.96638655462183,0.26,127500.0,1019.0,32.337,-86.29974,129900.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.337, -86.29974)",Birmingham,"(33.5279, -86.7971)",87.00798631927468,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,2400.0
AL,Montgomery,George B Edmondson Dr,36110.0,3.0,1.0,1050.0,65.71428571428571,0.16,66500.0,950.0,32.40325,-86.28537,69000.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.40325, -86.28537)",Birmingham,"(33.5279, -86.7971)",83.0076258813861,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,2500.0
AL,Montgomery,Valley Brook Ln,36117.0,4.0,2.0,1488.0,122.98387096774194,0.2799999999999999,182400.0,1450.0,32.408894,-86.201035,183000.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.408894, -86.201035)",Birmingham,"(33.5279, -86.7971)",84.5299591364844,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,600.0
AL,Montgomery,Cottingham Dr,36106.0,4.0,2.0,1680.0,77.38035714285714,0.2760999999999999,128800.0,1394.0,32.34567,-86.23511,129999.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.34567, -86.23511)",Birmingham,"(33.5279, -86.7971)",87.77122503241891,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,1199.0
AL,Montgomery,Greensboro Dr,36108.0,3.0,2.0,1000.0,110.0,0.19,106800.0,950.0,32.303844,-86.34714,110000.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.303844, -86.34714)",Birmingham,"(33.5279, -86.7971)",88.31317104956902,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,3200.0
AL,Montgomery,E Moye Dr,36109.0,3.0,2.0,2296.0,87.10801393728222,0.29,196500.0,1575.0,32.371906,-86.23705,200000.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.371906, -86.23705)",Birmingham,"(33.5279, -86.7971)",86.0513348953353,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,3500.0
AL,Montgomery,Larkspur Ct,36117.0,3.0,2.0,1428.0,133.0532212885154,0.3299999999999999,188400.0,1400.0,32.406235,-86.1868,190000.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.406235, -86.1868)",Birmingham,"(33.5279, -86.7971)",85.03873111207365,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,1600.0
AL,Montgomery,Young Orchard Ct,36106.0,3.0,3.0,1762.0,108.96708286038591,0.13,188700.0,1597.0,32.349503,-86.22742,192000.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.349503, -86.22742)",Birmingham,"(33.5279, -86.7971)",87.69356047093764,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,3300.0
AL,Montgomery,Hallwood Ln,36117.0,3.0,2.0,1739.0,149.45370902817712,0.22,259500.0,1792.0,32.32594,-86.1521,259900.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.32594, -86.1521)",Birmingham,"(33.5279, -86.7971)",90.91625590195316,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,400.0
AL,Montgomery,Oak Forest Dr,36109.0,3.0,1.0,1217.0,67.37880032867707,0.1893939393939394,80700.0,995.0,32.37769,-86.26625,82000.0,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353,"(32.37769, -86.26625)",Birmingham,"(33.5279, -86.7971)",85.05236473852153,209018.0,0.0018931383899951,0.0276000153096862,0.017276980929872,0.0025198786707364,1300.0
AL,Mobile,Emerald Dr W,36619.0,3.0,3.0,2190.0,134.70319634703196,0.3443,294000.0,1900.0,30.595074,-88.20307,295000.0,515.7,shape,False,True,America/Chicago,2,36652 36606 36607 36604 36605 36602 36603 36608 36609 36688 36582 36615 36617 36611 36610 36619 36618 36695 36693 36601 36616 36628 36633 36640 36641 36644 36660 36670 36675 36689 36691,1840006009,"(30.595074, -88.20307)",New Orleans,"(30.0687, -89.9288)",109.30541163980648,248431.0,0.0029797006009716,0.0219530976407936,0.0150150746082413,0.0020399225539485,1000.0
AL,Mobile,Stanton Rd,36607.0,3.0,2.0,1194.0,125.6281407035176,0.1971,148300.0,1200.0,30.693125,-88.087814,150000.0,515.7,shape,False,True,America/Chicago,2,36652 36606 36607 36604 36605 36602 36603 36608 36609 36688 36582 36615 36617 36611 36610 36619 36618 36695 36693 36601 36616 36628 36633 36640 36641 36644 36660 36670 36675 36689 36691,1840006009,"(30.693125, -88.087814)",New Orleans,"(30.0687, -89.9288)",118.06210680715375,248431.0,0.0029797006009716,0.0219530976407936,0.0150150746082413,0.0020399225539485,1700.0
AL,Mobile,Driver St,36617.0,6.0,4.0,3036.0,54.01844532279315,0.141,154100.0,2500.0,30.702614,-88.08904,164000.0,515.7,shape,False,True,America/Chicago,2,36652 36606 36607 36604 36605 36602 36603 36608 36609 36688 36582 36615 36617 36611 36610 36619 36618 36695 36693 36601 36616 36628 36633 36640 36641 36644 36660 36670 36675 36689 36691,1840006009,"(30.702614, -88.08904)",New Orleans,"(30.0687, -89.9288)",118.22881647859894,248431.0,0.0029797006009716,0.0219530976407936,0.0150150746082413,0.0020399225539485,9900.0
AL,Mobile,Green Forest Ct,36618.0,3.0,2.0,1296.0,135.03086419753086,0.1016,170100.0,1566.0,30.717815,-88.147285,175000.0,515.7,shape,False,True,America/Chicago,2,36652 36606 36607 36604 36605 36602 36603 36608 36609 36688 36582 36615 36617 36611 36610 36619 36618 36695 36693 36601 36616 36628 36633 36640 36641 36644 36660 36670 36675 36689 36691,1840006009,"(30.717815, -88.147285)",New Orleans,"(30.0687, -89.9288)",115.39768224073546,248431.0,0.0029797006009716,0.0219530976407936,0.0150150746082413,0.0020399225539485,4900.0
AL,Mobile,Montfort Rd S,36608.0,4.0,5.0,1598.0,93.86733416770964,0.426,143300.0,1500.0,30.70528,-88.17934,150000.0,515.7,shape,False,True,America/Chicago,2,36652 36606 36607 36604 36605 36602 36603 36608 36609 36688 36582 36615 36617 36611 36610 36619 36618 36695 36693 36601 36616 36628 36633 36640 36641 36644 36660 36670 36675 36689 36691,1840006009,"(30.70528, -88.17934)",New Orleans,"(30.0687, -89.9288)",113.30470878269207,248431.0,0.0029797006009716,0.0219530976407936,0.0150150746082413,0.0020399225539485,6700.0
AL,Mobile,Laurel St,36604.0,3.0,1.0,1490.0,157.71812080536913,0.1576,235000.0,1400.0,30.681978,-88.07807,235000.0,515.7,shape,False,True,America/Chicago,2,36652 36606 36607 36604 36605 36602 36603 36608 36609 36688 36582 36615 36617 36611 36610 36619 36618 36695 36693 36601 36616 36628 36633 36640 36641 36644 36660 36670 36675 36689 36691,1840006009,"(30.681978, -88.07807)",New Orleans,"(30.0687, -89.9288)",118.3337964515316,248431.0,0.0029797006009716,0.0219530976407936,0.0150150746082413,0.0020399225539485,0.0
