,city,state_id,population,lat,lng
0,New York,NY,18908608,40.6943,-73.9249
1,Los Angeles,CA,11922389,34.1141,-118.4068
2,Chicago,IL,8497759,41.8375,-87.6866
3,Miami,FL,6080145,25.784,-80.2101
4,Houston,TX,5970127,29.786,-95.3885
5,Dallas,TX,5830932,32.7935,-96.7667
6,Philadelphia,PA,5683533,40.0077,-75.1339
7,Atlanta,GA,5180179,33.7628,-84.422
8,Washington,DC,5116378,38.9047,-77.0163
9,Boston,MA,4328315,42.3188,-71.0852
10,Phoenix,AZ,4064275,33.5722,-112.0892
11,Detroit,MI,3725908,42.3834,-83.1024
12,Seattle,WA,3561397,47.6211,-122.3244
13,San Francisco,CA,3364979,37.7558,-122.4449
14,San Diego,CA,3046560,32.8313,-117.1222
15,Minneapolis,MN,2892569,44.9635,-93.2678
16,Tampa,FL,2861173,27.9945,-82.4447
17,Brooklyn,NY,2736074,40.6501,-73.9496
18,Denver,CO,2687458,39.762,-104.8758
19,Queens,NY,2405464,40.7498,-73.7976
20,Riverside,CA,2332836,33.9381,-117.3949
21,Las Vegas,NV,2248047,36.2333,-115.2654
22,Baltimore,MD,2196524,39.3051,-76.6144
23,St. Louis,MO,2130881,38.6359,-90.2451
24,Portland,OR,2095808,45.5371,-122.65
25,San Antonio,TX,2058444,29.4632,-98.5238
26,Sacramento,CA,1957738,38.5677,-121.4685
27,Austin,TX,1905945,30.3005,-97.7522
28,Orlando,FL,1882705,28.4773,-81.337
29,San Juan,PR,1814587,18.3985,-66.061
30,San Jose,CA,1771413,37.3012,-121.848
31,Pittsburgh,PA,1749091,40.4397,-79.9763
32,Indianapolis,IN,1729849,39.7771,-86.1458
33,Manhattan,NY,1694263,40.7834,-73.9662
34,Cincinnati,OH,1692702,39.1413,-84.506
35,Kansas City,MO,1689556,39.1238,-94.5541
36,Cleveland,OH,1680247,41.4764,-81.6805
37,Columbus,OH,1572546,39.9862,-82.9855
38,Bronx,NY,1472654,40.8501,-73.8662
39,Virginia Beach,VA,1443020,36.7335,-76.0435
40,Charlotte,NC,1427444,35.2083,-80.8303
41,Milwaukee,WI,1290940,43.0642,-87.9675
42,Providence,RI,1290271,41.823,-71.4187
43,Jacksonville,FL,1288298,30.3322,-81.6749
44,Nashville,TN,1177657,36.1715,-86.7842
45,Salt Lake City,UT,1173879,40.7776,-111.9311
46,Raleigh,NC,1163152,35.8324,-78.6429
47,Richmond,VA,1073223,37.5295,-77.4756
48,Memphis,TN,1037998,35.1087,-89.9663
49,Oklahoma City,OK,998806,35.4676,-97.5136
50,Hartford,CT,974684,41.7661,-72.6834
51,Louisville,KY,963812,38.1663,-85.6485
52,Buffalo,NY,944589,42.9018,-78.8487
53,New Orleans,LA,932759,30.0687,-89.9288
54,Fort Worth,TX,924663,32.7817,-97.3474
55,Bridgeport,CT,908251,41.1918,-73.1954
56,Tucson,AZ,878320,32.1541,-110.8787
57,El Paso,TX,865270,31.8476,-106.43
58,Omaha,NE,821345,41.2627,-96.0529
59,McAllen,TX,797341,26.2252,-98.2467
60,Birmingham,AL,782111,33.5279,-86.7971
61,Albuquerque,NM,769986,35.1054,-106.6465
62,Tulsa,OK,731743,36.1283,-95.9042
63,Fresno,CA,725276,36.783,-119.7939
64,Charleston,SC,706884,32.8168,-79.9687
65,Rochester,NY,699921,43.168,-77.6162
66,Dayton,OH,668825,39.7805,-84.2003
67,Cape Coral,FL,654405,26.6443,-81.9957
68,Mission Viejo,CA,642211,33.6096,-117.6551
69,Colorado Springs,CO,638194,38.8674,-104.7605
70,Baton Rouge,LA,635671,30.442,-91.1311
71,Allentown,PA,627863,40.5961,-75.4756
72,Ogden,UT,622918,41.2279,-111.9682
73,Provo,UT,619218,40.2457,-111.6457
74,Knoxville,TN,615829,35.9692,-83.9496
75,Grand Rapids,MI,609023,42.9619,-85.6562
76,Columbia,SC,604065,34.0378,-80.9036
77,Albany,NY,590694,42.6664,-73.7987
78,Bakersfield,CA,571992,35.3529,-119.0359
79,New Haven,CT,565572,41.3113,-72.9246
